2026-01-08 13:36:04 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:06 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:06 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:06 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:06 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:09 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:09 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:09 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:09 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:11 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:11 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:11 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:11 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:13 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:13 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:13 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:13 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:15 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:15 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:15 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:15 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
